,num,T2_E_near,T2_err_E_near,T2_E_mid,T2_err_E_mid,T2_E_far,T2_err_E_far
0,1,0.762914,0.002281,0.55478,0.016015,0.644923,0.011346
1,2,0.762914,0.002281,0.55478,0.016015,0.644923,0.011346
2,3,0.761107,0.002172,0.554041,0.016021,0.644616,0.011353
3,4,0.735991,0.003283,0.53572,0.016037,0.638456,0.01147
4,5,0.726823,0.003844,0.501584,0.016012,0.60464,0.012539
5,6,0.484182,0.019238,0.251549,0.011858,0.518903,0.014913
6,7,0.384203,0.01857,0.208068,0.011067,0.423032,0.015689
7,8,0.295037,0.016471,0.197406,0.010755,0.418201,0.015684
8,9,0.295036,0.016471,0.197406,0.010755,0.418201,0.015684
9,10,0.282058,0.016078,0.194322,0.010657,0.413412,0.01565
